"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Lehigh",77.2083,16,74.333,39,90.9769,283,97.3249,282,107.127,224,104.063,202,-6.73804,250
"2024","Liberty",56.35,357,66.6382,342,125.998,17,109.115,51,104.703,193,98.3912,82,10.724,65
"2024","Lindenwood",71.8812,155,71.1786,179,68.9148,356,91.319,352,129.249,349,111.244,350,-19.9247,354
"2024","Lipscomb",71.3583,174,71.1999,176,105.085,149,104.914,126,105.522,201,105.349,232,-0.434986,184
"2024","Little Rock",73.3625,102,72.9641,78,96.7898,241,101,218,103.745,185,107.429,293,-6.42815,246
"2024","LIU",73.625,91,76.0244,11,82.1228,329,89.9639,358,115.514,292,111.078,347,-21.1137,357
"2024","Long Beach St.",76.5417,26,76.1141,9,98.5463,220,104.639,133,103.976,189,100.581,120,4.05797,118
"2024","Longwood",65.3125,321,69.0421,269,105.646,143,100.224,234,111.77,259,104.01,199,-3.78557,213
"2024","Louisiana",71.525,170,71.4504,163,105.051,150,102.109,183,104.714,194,102.56,164,-0.451148,185
"2024","Louisiana Monroe",65.1937,325,67.6464,318,79.6931,334,96.6378,300,114.008,276,106.562,272,-9.92387,297
"2024","Louisiana Tech",72.05,144,70.4166,210,101.319,187,103.786,147,112.422,264,99.9394,106,3.84708,122
"2024","Louisville",77.125,17,74.2057,42,106.612,132,103.984,143,112.671,265,104.401,212,-0.41708,183
"2024","Loyola Chicago",70.5333,203,70.484,204,103.167,171,105.288,117,100.178,144,99.2631,97,6.02523,95
"2024","Loyola Marymount",72.175,139,71.9793,129,116.322,63,108.587,61,103.462,181,101.3,138,7.28652,90
"2024","Loyola MD",71.5104,171,70.501,203,98.8925,218,98.2426,270,111.181,254,107.088,288,-8.84533,281
"2024","LSU",71.1375,180,70.9387,188,119.823,44,107.333,76,90.442,60,96.5202,58,10.8124,64
"2024","Maine",65.9375,307,71.5773,154,88.5981,299,94.9916,322,106.161,211,105.939,251,-10.9471,308
"2024","Manhattan",74.3625,66,70.0834,228,82.2746,325,92.6401,342,105.083,195,105.917,249,-13.2768,322
"2024","Marist",68.5062,251,68.867,273,99.4783,212,96.9909,294,83.1907,23,101.873,147,-4.88172,231
"2024","Marquette",72.3917,130,72.4421,100,118.454,49,116.298,8,91.6687,70,92.3629,20,23.9356,9
"2024","Marshall",74.275,68,75.3284,19,100.846,192,101.915,191,93.7717,87,101.085,130,0.830692,160
"2024","Maryland",66.4917,293,68.3568,292,96.3972,245,107.775,74,91.7966,72,93.3118,27,14.4629,45
"2024","Maryland Eastern Shore",73.325,103,72.3037,110,88.6464,298,90.4739,355,115.922,299,106.982,283,-16.5076,346
"2024","Massachusetts",76.4563,27,75.012,23,126.988,13,105.186,120,99.5156,140,105.232,229,-0.0463138,176
"2024","McNeese St.",65.05,327,70.5911,200,116.833,58,106.423,93,99.9231,142,104.533,215,1.89053,143
"2024","Memphis",76.325,29,76.2364,8,106.86,127,110.899,33,85.8702,33,92.0621,18,18.8371,26
"2024","Mercer",68.1375,261,69.8357,236,97.0283,238,97.6977,276,98.839,133,104.08,204,-6.38197,244
"2024","Merrimack",62.025,347,65.3244,351,101.182,189,93.1418,339,107.19,225,104.945,223,-11.8036,312
"2024","Miami FL",74.0375,72,71.6624,150,124.032,24,114.412,16,96.3147,114,99.5146,100,14.8971,44
"2024","Miami OH",71.1875,179,70.3132,216,90.6641,288,98.4348,262,103.343,179,107.01,285,-8.5757,274
"2024","Michigan",73.4625,98,71.8762,136,127.216,12,114.065,18,95.1465,100,94.7476,46,19.3174,22
"2024","Michigan St.",70.4866,204,68.7231,278,97.8001,228,108.728,56,92.318,76,91.55,14,17.1779,33
"2024","Middle Tennessee",65.9088,308,67.5291,321,99.8502,207,101.421,209,90.1879,57,98.267,78,3.15413,129
"2024","Milwaukee",73.3063,105,73.8974,54,100.833,193,102.837,167,125.748,342,107.007,284,-4.17075,219
"2024","Minnesota",72.7562,122,70.3096,217,124.656,21,106.751,88,93.1626,81,101.105,132,5.64583,101
"2024","Mississippi",68.075,264,66.8327,337,105.088,148,104.825,129,94.6983,94,100.507,117,4.31797,116
"2024","Mississippi St.",73.1417,113,70.4504,207,108.904,112,109.011,53,79.0899,11,89.027,5,19.9841,20
"2024","Mississippi Valley St.",68.575,248,69.1543,258,75.5257,349,87.6142,362,133.273,353,113.509,359,-25.8945,362
"2024","Missouri",69.325,233,67.209,329,107.136,124,108.649,58,94.8647,95,97.763,71,10.8858,62
"2024","Missouri St.",71.7562,161,70.6852,196,98.9207,217,103.268,153,95.7571,107,100.449,115,2.8185,132
"2024","Monmouth",69.2625,234,72.4282,101,96.8047,240,98.3152,266,98.8665,134,103.882,197,-5.56655,237
"2024","Montana",65.8,312,66.3583,346,105.888,139,105.296,116,106.281,214,104.361,210,0.934849,157
"2024","Montana St.",71.2875,176,70.4211,209,95.3884,254,97.5721,279,99.5967,141,105.482,235,-7.90975,265
"2024","Morehead St.",70.7042,196,70.4561,206,95.9521,250,101.747,199,121.486,329,105.797,242,-4.04959,218
"2024","Morgan St.",77.6625,12,73.1919,73,75.9697,348,93.2845,335,157.09,357,109.733,335,-16.4486,345
"2024","Mount St. Mary's",67.525,277,68.2668,298,93.7012,264,95.8988,311,94.995,98,102.758,170,-6.85939,253
"2024","Murray St.",71.25,178,69.953,232,111.63,89,106.518,92,110.674,250,106.576,273,-0.058899,178
"2024","N.C. State",67.4875,279,69.5575,243,115.712,65,109.462,50,91.1913,66,96.9106,63,12.5512,55
"2024","Navy",63.1937,341,66.0709,348,91.1039,281,94.7251,324,105.673,204,106.547,271,-11.8214,313
"2024","Nebraska",70.7292,195,71.1892,178,107.691,120,107.159,80,73.673,7,94.2743,40,12.8844,53
"2024","Nebraska Omaha",67.4187,282,70.2003,221,94.3338,258,102.744,168,118.127,311,110.841,345,-8.09728,268
"2024","Nevada",70.9875,185,71.2644,171,112.732,84,109.067,52,97.6904,125,96.9881,64,12.0785,56
"2024","New Hampshire",75.65,43,73.8782,55,102.076,181,97.4718,280,96.8679,116,104.414,213,-6.94234,256
"2024","New Mexico",71.9625,149,72.9667,77,103.082,172,110.796,36,89.4804,52,96.7473,61,14.0483,48
"2024","New Mexico St.",71.9062,153,70.2924,218,82.9227,320,102.13,182,123.086,335,105.149,228,-3.019,205
"2024","New Orleans",0,358,74.0184,46,0,358,98.9705,251,200,358,108.656,318,-9.68538,292
"2024","Niagara",63.925,337,66.2071,347,99.3478,213,96.1598,303,111.876,260,106.922,281,-10.7625,305
"2024","Nicholls St.",71.975,148,70.2475,220,103.335,169,98.3653,263,108.419,232,106.755,276,-8.38992,272
"2024","NJIT",69.7937,220,72.2673,112,77.2284,343,91.5859,349,125.43,341,109.958,338,-18.372,351
"2024","Norfolk St.",75.725,41,70.2528,219,99.0426,215,98.2355,271,89.7986,54,105.655,238,-7.41934,260
"2024","North Alabama",76.0563,34,74.9119,25,90.5042,289,100.302,231,97.1462,120,104.114,205,-3.8125,214
"2024","North Carolina",73.4688,97,73.4273,67,119.801,45,114.206,17,94.0361,88,93.912,37,20.2935,17
"2024","North Carolina A&T",69.7667,222,71.8252,139,86.3775,305,93.2469,336,130.737,350,113.54,360,-20.2926,355
"2024","North Carolina Central",66.1813,303,64.7876,353,83.1058,318,95.0704,321,123.159,336,105.64,237,-10.5695,304
"2024","North Dakota",75.975,36,72.0931,124,101.972,182,100.756,225,115.777,296,107.492,295,-6.7362,249
"2024","North Dakota St.",63.9606,336,66.8142,338,95.719,252,101.125,216,116.94,306,107.419,292,-6.29335,241
"2024","North Florida",72.5625,127,71.2074,175,109.411,106,101.377,210,107.867,228,110.223,340,-8.84599,282
"2024","North Texas",60.6799,352,62.9458,360,122.93,28,106.191,101,109.213,238,98.919,89,7.27178,91
"2024","Northeastern",65.5625,319,67.8854,311,100.655,196,98.9131,252,110.747,251,105.595,236,-6.68221,248
"2024","Northern Arizona",70.175,210,70.1129,226,76.2286,346,99.2916,249,131.265,351,106.494,266,-7.20201,257
"2024","Northern Colorado",72.525,128,72.1328,119,88.2454,301,98.6237,258,114.443,280,105.863,245,-7.23885,258
"2024","Northern Illinois",76.2375,31,74.3672,37,105.216,147,101.869,193,112.017,262,105.774,241,-3.90574,216
"2024","Northern Iowa",63.6222,339,71.0415,185,107.579,122,106.987,86,115.962,300,101.793,144,5.19479,103
"2024","Northern Kentucky",68.2125,259,67.9372,309,90.7954,285,101.662,202,109.236,239,104.731,218,-3.06969,206
"2024","Northwestern",61.9417,348,65.161,352,111.247,91,109.473,49,100.765,148,97.9522,75,11.5207,59
"2024","Northwestern St.",77.5062,15,73.6981,58,90.9642,284,95.6043,314,118.682,315,111.563,352,-15.9584,341
"2024","Notre Dame",65.5188,320,68.4772,288,100.112,202,101.563,205,102.188,168,103.742,194,-2.17907,201
"2024","Oakland",67.9542,267,69.5615,242,100.946,190,101.651,203,101.422,162,103.79,195,-2.13863,200
"2024","Ohio",70.55,201,70.3315,215,117.734,54,108.638,59,108.87,235,104.215,207,4.42281,113
"2024","Ohio St.",65.5938,318,68.3727,291,110.448,98,112.286,26,111.3,255,98.4749,83,13.8106,50
"2024","Oklahoma",69.1042,239,69.7411,239,127.414,11,110.49,40,74.9396,9,92.93,23,17.56,32
"2024","Oklahoma St.",68.7438,246,69.2556,257,104.916,152,105.414,114,97.5106,123,97.0972,65,8.31693,83
"2024","Old Dominion",69.9062,215,68.4962,287,103.695,166,103.067,160,113.702,274,102.813,172,0.254653,168
"2024","Oral Roberts",74.8812,57,74.8686,26,93.9385,262,102.926,164,106.211,212,106.015,253,-3.08904,207
"2024","Oregon",74.7438,61,74.0322,45,105.68,141,110.329,43,88.5632,47,93.5493,32,16.7796,36
"2024","Oregon St.",68.5156,250,66.8769,334,100.386,200,101.342,212,92.984,80,101.366,140,-0.0244577,175
"2024","Pacific",75.9375,37,74.7984,27,96.3494,246,100.979,219,95.0931,99,101.229,133,-0.249704,179
"2024","Penn",68.4125,252,69.5117,245,106.081,136,102.898,165,98.5249,132,102.844,174,0.0546203,174
"2024","Penn St.",73.2917,106,72.1306,120,107.795,117,104.974,124,74.2312,8,96.5874,59,8.38645,81
"2024","Pepperdine",73.2417,109,73.9401,51,110.047,102,103.263,155,84.3618,25,101.262,135,2.00134,142
"2024","Pittsburgh",72.3333,132,72.1104,121,126.662,15,110.532,38,86.1875,35,96.4305,57,14.1014,47
"2024","Portland",73.7688,86,72.2145,116,104.622,157,105.126,123,93.5201,85,103.342,184,1.78444,145
"2024","Portland St.",67.5813,275,72.08,125,106.044,137,101.904,192,96.2948,113,101.3,137,0.603618,163
"2024","Prairie View A&M",73.8333,82,73.8064,57,92.3443,272,93.3139,334,103.204,176,104.303,208,-10.9888,309
"2024","Presbyterian",69.7688,221,71.7637,144,99.6035,209,95.4574,318,90.2945,59,103.262,181,-7.80473,263
"2024","Princeton",64.9625,331,66.964,333,109.29,108,107.68,75,98.4959,130,100.769,124,6.9113,92
"2024","Providence",71.6667,165,68.4588,290,106.688,130,108.63,60,87.2974,40,94.3279,41,14.3021,46
"2024","Purdue",71.8625,156,69.5236,244,124.329,23,119.261,1,80.6336,14,90.5159,8,28.7448,1
